Date,Movie ,Location,Showtime,Type,Age Rating
18-Nov-19,Hustlers,Cineplex Yonge-Dundas,6:50 PM,Regular,14A
18-Nov-19,Hustlers,Cineplex Yonge-Dundas,10:15 PM,Regular,14A
18-Nov-19,IT Chapter Two,Cineplex Yonge-Dundas,9:00 PM,Regular,14A
18-Nov-19,KONOSUBA - God's blessing on this wonderful! - Legend of Crimson (Japanese w/e.s.t),Cineplex Yonge-Dundas,2:10 PM,Regular,PG
18-Nov-19,KONOSUBA - God's blessing on this wonderful! - Legend of Crimson (Japanese w/e.s.t),Cineplex Yonge-Dundas,4:40 PM,Regular,PG
18-Nov-19,KONOSUBA - God's blessing on this wonderful! - Legend of Crimson (Japanese w/e.s.t),Cineplex Yonge-Dundas,7:00 PM,Regular,PG
18-Nov-19,KONOSUBA - God's blessing on this wonderful! - Legend of Crimson (Japanese w/e.s.t),Cineplex Yonge-Dundas,7:10 PM,Regular,PG
18-Nov-19,KONOSUBA - God's blessing on this wonderful! - Legend of Crimson (Japanese w/e.s.t),Cineplex Yonge-Dundas,9:30 PM,Regular,PG
18-Nov-19,Motherless Brooklyn,Cineplex Yonge-Dundas,7:10 PM,Regular,14A
18-Nov-19,Motherless Brooklyn,Cineplex Yonge-Dundas,10:30 PM,Regular,14A
18-Nov-19,Playing With Fire,Cineplex Yonge-Dundas,2:20 PM,Regular,G
18-Nov-19,Playing With Fire,Cineplex Yonge-Dundas,4:50 PM,Regular,G
18-Nov-19,Playing With Fire,Cineplex Yonge-Dundas,7:20 PM,Regular,G
18-Nov-19,Playing With Fire,Cineplex Yonge-Dundas,9:40 PM,Regular,G
18-Nov-19,Somewhere Winter (Mandarin w/ Chinese & English s.t.),Cineplex Yonge-Dundas,3:40 PM,Regular,PG
18-Nov-19,Somewhere Winter (Mandarin w/ Chinese & English s.t.),Cineplex Yonge-Dundas,7:40 PM,Regular,PG
18-Nov-19,Somewhere Winter (Mandarin w/ Chinese & English s.t.),Cineplex Yonge-Dundas,9:40 PM,Regular,PG
18-Nov-19,Terminator: Dark Fate,Cineplex Yonge-Dundas,3:30 PM,Regular ,14A
18-Nov-19,Terminator: Dark Fate,Cineplex Yonge-Dundas,6:30 PM,Regular ,14A
18-Nov-19,Terminator: Dark Fate,Cineplex Yonge-Dundas,9:30 PM,Regular ,14A
18-Nov-19,Terminator: Dark Fate,Cineplex Yonge-Dundas,1:00 PM,4DX,14A
18-Nov-19,Terminator: Dark Fate,Cineplex Yonge-Dundas,4:00 PM,4DX,14A
18-Nov-19,Terminator: Dark Fate,Cineplex Yonge-Dundas,7:10 PM,4DX,14A
18-Nov-19,Terminator: Dark Fate,Cineplex Yonge-Dundas,10:10 PM,4DX,14A
18-Nov-19,The Addams Family,Cineplex Yonge-Dundas,7:10 PM,Regular,PG
18-Nov-19,The Warrior Queen of Jhansi,Cineplex Yonge-Dundas,2:30 PM,Regular,PG
18-Nov-19,The Warrior Queen of Jhansi,Cineplex Yonge-Dundas,5:00 PM,Regular,PG
